symbol,NOVA_EXT_MAX,NOVA_EMA_X,NOVA_EMA_PCT,net,trades,win_pct,pf
ETHUSDT,-0.15,4,0.05,0.0,0,0.0,0.0
ETHUSDT,-0.15,4,0.08,0.0,0,0.0,0.0
ETHUSDT,-0.15,4,0.1,0.0,0,0.0,0.0
ETHUSDT,-0.15,6,0.05,0.0,0,0.0,0.0
ETHUSDT,-0.15,6,0.08,0.0,0,0.0,0.0
ETHUSDT,-0.15,6,0.1,0.0,0,0.0,0.0
ETHUSDT,-0.15,8,0.05,0.0,0,0.0,0.0
ETHUSDT,-0.15,8,0.08,0.0,0,0.0,0.0
ETHUSDT,-0.15,8,0.1,0.0,0,0.0,0.0
ETHUSDT,0.1,4,0.05,-16.72414519171551,479,36.95,0.4313481063974324
ETHUSDT,0.1,4,0.08,-16.72414519171551,479,36.95,0.4313481063974324
ETHUSDT,0.1,4,0.1,-16.72414519171551,479,36.95,0.4313481063974324
ETHUSDT,0.1,6,0.05,-16.72414519171551,479,36.95,0.4313481063974324
ETHUSDT,0.1,6,0.08,-16.72414519171551,479,36.95,0.4313481063974324
ETHUSDT,0.1,6,0.1,-16.72414519171551,479,36.95,0.4313481063974324
ETHUSDT,0.1,8,0.05,-16.72414519171551,479,36.95,0.4313481063974324
ETHUSDT,0.1,8,0.08,-16.72414519171551,479,36.95,0.4313481063974324
ETHUSDT,0.1,8,0.1,-16.72414519171551,479,36.95,0.4313481063974324
ETHUSDT,0.5,4,0.05,-67.76461985031744,2042,37.32,0.44933273775948285
ETHUSDT,0.5,4,0.08,-67.76461985031744,2042,37.32,0.44933273775948285
ETHUSDT,0.5,4,0.1,-67.76461985031744,2042,37.32,0.44933273775948285
ETHUSDT,0.5,6,0.05,-67.76461985031744,2042,37.32,0.44933273775948285
ETHUSDT,0.5,6,0.08,-67.76461985031744,2042,37.32,0.44933273775948285
ETHUSDT,0.5,6,0.1,-67.76461985031744,2042,37.32,0.44933273775948285
ETHUSDT,0.5,8,0.05,-67.76461985031744,2042,37.32,0.44933273775948285
ETHUSDT,0.5,8,0.08,-67.76461985031744,2042,37.32,0.44933273775948285
ETHUSDT,0.5,8,0.1,-67.76461985031744,2042,37.32,0.44933273775948285
ETHUSDT,1.0,4,0.05,-116.01940523363241,3200,35.12,0.41317924389322364
ETHUSDT,1.0,4,0.08,-116.01940523363241,3200,35.12,0.41317924389322364
ETHUSDT,1.0,4,0.1,-116.01940523363241,3200,35.12,0.41317924389322364
ETHUSDT,1.0,6,0.05,-116.01940523363241,3200,35.12,0.41317924389322364
ETHUSDT,1.0,6,0.08,-116.01940523363241,3200,35.12,0.41317924389322364
ETHUSDT,1.0,6,0.1,-116.01940523363241,3200,35.12,0.41317924389322364
ETHUSDT,1.0,8,0.05,-116.01940523363241,3200,35.12,0.41317924389322364
ETHUSDT,1.0,8,0.08,-116.01940523363241,3200,35.12,0.41317924389322364
ETHUSDT,1.0,8,0.1,-116.01940523363241,3200,35.12,0.41317924389322364
