symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ETHUSDT,F_192_ext_entry,2026-02-13T20:00:00+00:00,2026-02-14T12:00:00+00:00,2060.415062,2103.246085,20.0,0.4158,,stop,4
ETHUSDT,F_192_ext_entry,2026-02-25T16:00:00+00:00,2026-02-25T20:00:00+00:00,2016.307797,2081.791213,20.0,0.6495,,stop,1
ETHUSDT,F_192_ext_entry,2026-03-04T16:00:00+00:00,2026-03-04T20:00:00+00:00,2153.025299,2194.384387,20.0,0.3842,,stop,1
ETHUSDT,F_192_ext_entry,2026-03-13T04:00:00+00:00,2026-03-13T12:00:00+00:00,2121.614518,2128.391273,20.0,0.0639,,stop,2
ETHUSDT,F_192_ext_entry,2026-03-16T04:00:00+00:00,2026-03-16T08:00:00+00:00,2238.576371,2283.826257,20.0,0.4043,,stop,1
ETHUSDT,F_192_ext_entry,2026-03-16T20:00:00+00:00,2026-03-17T00:00:00+00:00,2333.950196,2381.011839,20.0,0.4033,,stop,1
ETHUSDT,F_192_ext_entry,2026-03-31T20:00:00+00:00,2026-04-01T00:00:00+00:00,2099.265502,2105.970871,20.0,0.0639,,stop,1
ETHUSDT,F_192_ext_entry,2026-04-06T04:00:00+00:00,2026-04-06T08:00:00+00:00,2132.118155,2138.92846,20.0,0.0639,,stop,1
ETHUSDT,F_192_ext_entry,2026-04-14T00:00:00+00:00,2026-04-14T08:00:00+00:00,2372.540298,2382.109247,20.0,0.0807,,stop,2
ETHUSDT,F_192_ext_entry,2026-04-17T16:00:00+00:00,2026-04-17T20:00:00+00:00,2445.134548,2456.782206,20.0,0.0953,,stop,1
ETHUSDT,F_192_ext_entry,2026-04-26T20:00:00+00:00,2026-04-27T00:00:00+00:00,2370.47762,2378.049281,20.0,0.0639,,stop,1
ETHUSDT,F_192_ext_entry,2026-04-27T04:00:00+00:00,2026-04-27T04:00:00+00:00,2397.963305,2355.032064,20.0,-0.3581,,stop,0
ETHUSDT,F_192_ext_entry,2026-05-06T12:00:00+00:00,2026-05-06T16:00:00+00:00,2413.603611,2339.075997,20.0,-0.6176,,stop,1
ETHUSDT,F_192_ext_entry,2026-05-10T16:00:00+00:00,2026-05-10T20:00:00+00:00,2350.611828,2360.191757,20.0,0.0815,,stop,1
ETHUSDT,F_192_ext_entry,2026-06-22T12:00:00+00:00,2026-06-22T16:00:00+00:00,1769.977984,1775.631559,20.0,0.0639,,stop,1
ETHUSDT,F_192_ext_entry,2026-06-29T20:00:00+00:00,2026-06-30T12:00:00+00:00,1627.71328,1570.441905,20.0,-0.7037,,stop,4
ETHUSDT,F_192_ext_entry,2026-07-02T12:00:00+00:00,2026-07-02T16:00:00+00:00,1652.455403,1721.379294,20.0,0.8342,,stop,1
ETHUSDT,F_192_ext_entry,2026-07-03T12:00:00+00:00,2026-07-03T16:00:00+00:00,1744.805302,1750.378472,20.0,0.0639,,stop,1
ETHUSDT,F_192_ext_entry,2026-07-04T16:00:00+00:00,2026-07-04T20:00:00+00:00,1793.408404,1801.689455,20.0,0.0923,,stop,1
ETHUSDT,F_192_ext_entry,2026-07-14T16:00:00+00:00,2026-07-15T00:00:00+00:00,1877.657786,1889.887668,20.0,0.1303,,stop,2
ETHUSDT,F_192_ext_entry,2026-07-20T12:00:00+00:00,2026-07-20T12:00:00+00:00,1895.671173,1854.361651,20.0,-0.4358,,stop,0
ETHUSDT,F_192_ext_entry,2026-07-21T04:00:00+00:00,2026-07-21T08:00:00+00:00,1929.244762,1935.407059,20.0,0.0639,,stop,1
ETHUSDT,F_192_ext_entry,2026-08-05T20:00:00+00:00,2026-08-06T00:00:00+00:00,1919.512126,1925.643336,20.0,0.0639,,stop,1
ETHUSDT,F_192_ext_entry,2026-08-17T04:00:00+00:00,2026-08-17T08:00:00+00:00,1903.401209,1909.480958,20.0,0.0639,,stop,1
ETHUSDT,F_192_ext_entry,2026-08-22T00:00:00+00:00,2026-08-22T04:00:00+00:00,2519.581203,2527.629123,20.0,0.0639,,stop,1
